"filename", "language", "JSON", "Python", "Shell Script", "YAML", "Markdown", "TOML", "Docker", "XML", "PostCSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\.claude\settings.local.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\CLAUDE.md", "Markdown", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 38, 161
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 9, 32
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\README.md", "Markdown", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 32, 158
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\app.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 50
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\blue_print\__init__.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 21
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\blue_print\analysis_router.py", "Python", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 39, 264
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\blue_print\doctype_router.py", "Python", 0, 482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 72, 618
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\blue_print\extraction_router.py", "Python", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 42, 360
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\blue_print\file_router.py", "Python", 0, 434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 86, 575
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\blue_print\search_router.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 23
"c:\Users\19404\Desktop\Projects\wanz_prase2_001\configs\config1.yaml", "YAML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 21, 10, 89
